item	sent	token_id	word	depth	ind	brn
10	457	14	.	2	0.006373910699039698	0.577649085316807
10	458	0	Complex	3	14.149701118469238	15.443773686885834
10	458	1	motor	3	11.423700332641602	12.717772901058197
10	458	2	<cunkER>	3	6.72200870513916	8.016081273555756
10	458	3	might	3	6.14312744140625	6.864950776100159
10	458	4	include	4	5.797447204589844	6.793243944644928
10	458	5	facial	6	11.670294761657715	13.08663935214281
10	458	6	<unkly>	6	9.959296226501465	11.37564081698656
10	458	7	combined	6	10.223610877990723	12.18619204312563
10	458	8	with	7	0.6671133041381836	3.019511081278324
10	458	9	a	9	2.159801959991455	5.316103123128414
10	458	10	head	9	8.300430297851562	11.456731460988522
10	458	11	twist	9	10.580020904541016	13.736322067677975
10	458	12	and	8	0.9552434682846069	3.3707269057631493
10	458	13	a	9	1.3228368759155273	3.7715172581374645
10	458	14	shoulder	9	8.175701141357422	10.624381523579359
10	458	15	shrug	9	13.351619720458984	15.800300102680922
10	458	16	.	2	0.00731279281899333	0.5785879674367607
10	459	0	Other	3	7.146050453186035	8.44012302160263
10	459	1	complex	3	9.861978530883789	11.156051099300385
10	459	2	motor	3	11.752837181091309	13.046909749507904
10	459	3	<cunkER>	3	11.392617225646973	12.686689794063568
10	459	4	may	3	4.771651744842529	5.506726160645485
10	459	5	actually	4	4.533933639526367	7.5451208502054214
10	459	6	appear	4	5.817641735076904	6.607843071222305
10	459	7	purposeful	5	16.951574325561523	20.644413143396378
10	459	8	,	2	5.756818771362305	6.328093945980072
10	459	9	including	3	5.112116813659668	10.207745015621185
10	459	10	sniffing	6	9.85799789428711	21.5506751537323
10	459	11	or	6	2.9388229846954346	14.631500244140625
10	459	12	touching	6	8.19277572631836	19.88545298576355
10	459	13	objects	7	10.87136173248291	23.07821214199066
10	459	14	,	5	1.6111814975738525	10.51671814918518
10	459	15	hopping	6	9.169921875	18.575854659080505
10	459	16	,	5	0.8552393913269043	9.760776042938232
10	459	17	jumping	6	8.138406753540039	17.454003244638443
10	459	18	,	5	0.7203614115715027	9.62589806318283
10	459	19	bending	6	9.392948150634766	18.717295736074448
10	459	20	,	5	0.5859859585762024	9.49152261018753
10	459	21	or	5	1.9756710529327393	10.881207704544067
10	459	22	twisting	6	8.833038330078125	17.807763285934925
10	459	23	.	2	0.021323589608073235	0.5925987642258406
10	460	0	Complex	3	14.149701118469238	15.443773686885834
10	460	1	vocal	3	14.61799144744873	15.912064015865326
10	460	2	<cunkER>	3	6.158013343811035	7.452085912227631
10	460	3	include	3	7.505318641662598	8.22383365035057
10	460	4	words	4	10.939607620239258	11.70874348655343
10	460	5	or	4	3.3482017517089844	4.117337618023157
10	460	6	phrases	4	11.07647705078125	11.845612917095423
10	460	7	.	2	0.02026578225195408	0.5915409568697214
10	461	0	Perhaps	3	4.142961502075195	8.20335477590561
10	461	1	the	3	2.070913791656494	3.0090050101280212
10	461	2	most	4	1.3525913953781128	7.0281975865364075
10	461	3	dramatic	4	5.561655044555664	11.237261235713959
10	461	4	and	4	0.38600480556488037	6.061610996723175
10	461	5	<unkly>	4	5.083807468414307	10.759413659572601
10	461	6	<cunkER>	3	10.013435363769531	10.951526582241058
10	461	7	include	3	9.153919219970703	9.815345585346222
10	461	8	motor	7	11.6992769241333	17.199835047125816
10	461	9	movements	7	7.595478057861328	13.096036180853844
10	461	10	that	8	0.055098265409469604	6.248832896351814
10	461	11	result	9	8.86433219909668	14.904119185172021
10	461	12	in	10	0.19130349159240723	6.297805859707296
10	461	13	<unk.>	11	11.638614654541016	17.841083741746843
10	461	14	such	6	4.6065473556518555	8.424312576651573
10	461	15	as	6	0.0005398723296821117	3.8183050933294
10	461	16	punching	9	8.180157661437988	20.023529518395662
10	461	17	oneself	10	9.594562530517578	22.558515656739473
10	461	18	in	10	2.1895155906677246	15.28240131214261
10	461	19	the	11	0.8856374025344849	14.002579340711236
10	461	20	face	11	6.539353847503662	19.656295785680413
10	461	21	,	4	0.7842063307762146	1.533564105629921
10	461	22	or	4	3.3665754795074463	4.115933254361153
10	461	23	vocal	6	12.193617820739746	13.177082896232605
10	461	24	<cunkER>	6	8.629804611206055	9.613269686698914
10	461	25	including	6	7.1462082862854	9.120975211262703
10	461	26	<unk>	8	5.43540096282959	8.241101094521582
